2020,,1,2,3,4,5,6,7,8,9,10,11,12
NPZ,外促,13000,,,,7000,7000,7000,7000,,,9000,9000
,共同,12000,18000,16300,16300,15600,15600,15600,15600,18800,18800,13700,14700
,常態,20700,20700,21749,21749,21749,21749,23242,23242,23242,23242,23242,23242
,專案,3500,5500,5000,5000,5000,5000,5000,5000,5000,5000,5000,3000
SR,外促,13000,,,,7000,7000,7000,7000,,,9000,9000
,共同,12000,18000,16300,16300,15600,15600,15600,15600,18800,18800,13991,13991
,常態,31750,31750,31750,31750,31750,31750,31750,31750,31750,31750,31750,31750
,專案,7800,9800,11300,11300,15500,15500,16500,16500,14000,14000,11700,11700
RE,外促,13000,,,,7000,7000,7000,7000,,,9000,9000
,共同,12000,18000,22800,19550,20700,20700,20700,20700,18800,18800,14670,15670
,常態,27300,27300,27300,27300,27300,27300,49700,49700,49700,49700,49700,49700
,專案,35100,35100,33100,40900,42100,47600,15500,15500,18000,18000,18000,18000
AS,外促,13000,,,,7000,7000,7000,7000,,,9000,9000
,共同,12000,18000,16300,16300,15600,15600,15600,15600,18800,18800,13700,14700
,常態,29590,29590,29590,29590,37240,37240,37450,37450,37450,37450,37450,37450
,專案,14650,13150,13150,13100,6000,6000,6180,6180,6180,,6180,6180
ASP,外促,,,,,,,7000,7000,,,9000,9000
,共同,,,,,,,,,9000,7100,9610,10610
,常態,,,,,,,23710,23710,23710,23710,23710,23710
,專案,,,,,,,,,4250,4250,4500,4500
CP,外促,,,,,,,,,,,,
,競賽,,,,1212,1450,1500,1500,1500,,,,
,常態,12500,12500,12500,12500,12500,12500,12500,12500,,,,
,專案,,,,,,3000,8000,8000,,,,
JD,外促,,,,,,,,,,,,
,競賽,,,,1212,1450,1500,1500,1500,1900,1900,1900,
,常態,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
,專案,,,,,,3000,3000,3000,3000,3000,3000,1500
JDV,外促,,,,,,,,,,,,
,競賽,,,,1212,1450,1500,1500,1500,1900,1900,1900,
,常態,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
,專案,,,,,,3000,3000,3000,3000,3000,1500,1000
DE,外促,,,,,,,,,,,,
,競賽,,,,1212,1320,1500,1500,1500,1900,1900,1900,
,常態,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
,專案,2000,3000,,,,,,,,,,
DET,外促,,,,,,,,,,,,
,競賽,,,,1212,1320,1500,1500,1500,1900,,1900,
,常態,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
,專案,5200,7200,7200,9450,9000,9000,9000,9000,9000,9000,9000,6000
,,,,,,,,,,,,,
